iter	Passed	Remaining
0	61	61331
1	61	30928
2	62	20799
3	62	15678
4	63	12616
5	64	10703
6	65	9251
7	65	8152
8	66	7300
9	66	6611
10	67	6052
11	67	5595
12	68	5208
13	69	4861
14	69	4573
15	70	4309
16	70	4079
17	71	3882
18	71	3700
19	72	3534
20	72	3384
21	73	3249
22	73	3122
23	74	3019
24	74	2921
25	75	2831
26	76	2746
27	76	2663
28	77	2585
29	77	2513
30	78	2444
31	78	2385
32	79	2326
33	79	2269
34	80	2213
35	81	2172
36	81	2129
37	82	2089
38	82	2044
39	83	2011
40	84	1970
41	84	1933
42	85	1896
43	85	1866
44	86	1832
45	86	1798
46	87	1768
47	87	1739
48	88	1711
49	88	1684
50	89	1657
51	89	1632
52	89	1607
53	90	1583
54	90	1561
55	91	1538
56	91	1516
57	92	1495
58	92	1474
59	92	1456
60	93	1438
61	93	1421
62	94	1403
63	94	1388
64	95	1372
65	95	1356
66	96	1339
67	96	1321
68	96	1305
69	97	1291
70	97	1277
71	98	1264
72	98	1250
73	98	1237
74	99	1225
75	99	1213
76	100	1201
77	100	1190
78	101	1180
79	101	1168
80	102	1158
81	102	1148
82	103	1138
83	103	1128
84	103	1116
85	104	1107
86	104	1096
87	104	1086
88	105	1078
89	105	1070
90	106	1061
91	106	1053
92	107	1045
93	107	1037
94	108	1029
95	108	1022
96	109	1015
97	109	1007
98	109	1000
99	110	992
100	110	985
101	110	976
102	111	969
103	111	962
104	112	955
105	112	948
106	112	942
107	113	936
108	113	930
109	114	924
110	114	918
111	115	912
112	115	906
113	115	901
114	116	897
115	117	893
116	117	888
117	118	883
118	118	878
119	119	876
120	120	872
121	120	868
122	120	861
123	121	856
124	121	852
125	122	849
126	122	844
127	123	838
128	123	834
129	123	829
130	124	825
131	124	821
132	125	817
133	125	813
134	126	809
135	126	806
136	127	802
137	127	799
138	128	796
139	128	792
140	129	788
141	130	785
142	130	782
143	130	778
144	131	774
145	131	770
146	132	768
147	132	765
148	133	761
149	133	758
150	134	755
151	135	753
152	135	752
153	136	749
154	136	746
155	137	743
156	137	740
157	138	736
158	138	733
159	139	730
160	139	727
161	140	724
162	140	722
163	141	719
164	141	716
165	142	713
166	142	712
167	143	712
168	144	709
169	144	707
170	145	705
171	146	703
172	146	701
173	147	699
174	147	697
175	148	696
176	150	701
177	156	720
178	157	721
179	157	718
180	157	714
181	159	716
182	160	715
183	161	716
184	162	715
185	162	713
186	164	713
187	164	711
188	165	711
189	166	711
190	167	709
191	167	706
192	169	709
193	171	713
194	172	711
195	172	708
196	173	706
197	173	703
198	174	701
199	175	700
200	175	697
201	177	700
202	178	699
203	178	697
204	179	697
205	182	703
206	183	703
207	185	706
208	185	703
209	186	703
210	188	706
211	189	706
212	192	711
213	193	711
214	194	710
215	195	708
216	196	708
217	197	707
218	198	706
219	201	713
220	202	713
221	202	711
222	203	710
223	204	708
224	204	706
225	205	703
226	207	705
227	208	704
228	210	707
229	211	706
230	211	705
231	212	703
232	213	701
233	213	699
234	215	702
235	216	701
236	217	698
237	217	696
238	218	695
239	219	695
240	220	694
241	221	694
242	224	699
243	225	699
244	226	697
245	228	699
246	229	698
247	230	697
248	230	696
249	231	694
250	231	692
251	232	691
252	233	689
253	234	688
254	235	686
255	235	685
256	237	686
257	238	686
258	239	684
259	240	683
260	241	683
261	242	682
262	243	681
263	243	680
264	244	678
265	245	676
266	245	674
267	246	672
268	247	672
269	248	671
270	254	685
271	255	684
272	256	682
273	256	680
274	257	678
275	258	677
276	259	676
277	259	675
278	260	673
279	260	671
280	261	669
281	262	667
282	262	665
283	263	664
284	264	663
285	265	662
286	266	660
287	266	659
288	267	657
289	268	657
290	269	656
291	270	655
292	270	653
293	271	651
294	272	650
295	272	649
296	273	647
297	274	647
298	275	645
299	276	644
300	276	642
301	277	640
302	277	638
303	279	639
304	280	639
305	281	639
306	284	641
307	285	640
308	285	639
309	287	639
310	288	638
311	288	636
312	289	635
313	290	633
314	291	633
315	291	631
316	292	631
317	293	630
318	296	632
319	297	632
320	298	631
321	300	632
322	300	630
323	301	628
324	301	626
325	302	626
326	303	625
327	305	625
328	306	625
329	307	624
330	310	628
331	311	627
332	312	626
333	313	625
334	314	624
335	315	622
336	315	621
337	316	619
338	316	617
339	317	615
340	318	615
341	318	613
342	319	611
343	320	610
344	321	609
345	321	607
346	322	606
347	323	606
348	325	606
349	327	608
350	328	607
351	329	606
352	330	606
353	331	605
354	332	604
355	334	604
356	337	607
357	337	605
358	338	604
359	340	605
360	341	603
361	341	602
362	343	602
363	344	602
364	348	606
365	349	605
366	349	603
367	351	604
368	355	608
369	356	606
370	357	605
371	357	603
372	360	605
373	361	604
374	361	602
375	362	601
376	362	599
377	363	597
378	363	596
379	364	594
380	364	592
381	365	592
382	366	590
383	367	589
384	368	587
385	368	586
386	369	585
387	371	586
388	373	586
389	374	586
390	375	584
391	375	582
392	376	580
393	376	579
394	377	577
395	377	575
396	378	574
397	378	572
398	379	570
399	382	573
400	384	575
401	385	573
402	388	575
403	390	575
404	390	574
405	391	572
406	391	570
407	392	569
408	392	567
409	393	565
410	393	563
411	394	562
412	394	560
413	395	559
414	395	557
415	396	556
416	396	554
417	397	553
418	398	552
419	406	561
420	407	560
421	408	559
422	409	558
423	410	557
424	410	555
425	412	555
426	413	554
427	414	554
428	415	552
429	415	551
430	417	551
431	418	549
432	418	548
433	420	548
434	433	563
435	434	562
436	435	560
437	439	564
438	441	564
439	442	563
440	442	561
441	447	564
442	447	563
443	448	561
444	455	568
445	456	567
446	457	565
447	457	563
448	458	562
449	458	560
450	458	558
451	459	557
452	459	555
453	460	553
454	461	552
455	461	550
456	462	549
457	470	556
458	470	554
459	471	553
460	471	551
461	472	550
462	473	548
463	473	547
464	474	545
465	475	544
466	475	543
467	476	541
468	477	540
469	478	539
470	478	537
471	479	536
472	479	534
473	480	533
474	481	532
475	482	530
476	483	529
477	484	528
478	484	527
479	485	525
480	485	524
481	486	522
482	486	521
483	487	519
484	487	517
485	488	516
486	488	514
487	489	513
488	489	511
489	490	510
490	490	508
491	491	507
492	491	505
493	492	504
494	492	502
495	492	500
496	493	499
497	494	498
498	495	497
499	495	495
500	496	494
501	497	493
502	498	492
503	499	491
504	500	490
505	501	489
506	501	487
507	502	486
508	502	485
509	503	483
510	504	482
511	505	481
512	505	480
513	506	479
514	507	477
515	507	476
516	508	475
517	509	473
518	510	472
519	511	471
520	512	471
521	513	470
522	514	469
523	515	468
524	516	467
525	517	466
526	517	464
527	518	463
528	519	462
529	519	461
530	520	459
531	521	458
532	521	457
533	522	456
534	523	454
535	523	453
536	524	452
537	525	451
538	525	449
539	526	448
540	527	447
541	528	446
542	528	444
543	529	443
544	529	442
545	530	440
546	530	439
547	531	438
548	532	437
549	532	435
550	533	434
551	533	433
552	534	431
553	534	430
554	535	429
555	536	428
556	536	426
557	537	425
558	537	424
559	540	424
560	541	423
561	543	423
562	544	422
563	544	421
564	545	419
565	545	418
566	546	417
567	547	416
568	547	414
569	548	413
570	549	412
571	549	411
572	550	410
573	551	409
574	552	408
575	552	406
576	554	406
577	555	405
578	555	404
579	557	403
580	557	402
581	558	400
582	558	399
583	558	398
584	559	396
585	559	395
586	560	394
587	561	393
588	562	392
589	563	391
590	563	390
591	564	389
592	564	387
593	565	386
594	565	385
595	566	384
596	568	383
597	568	382
598	570	381
599	571	380
600	572	379
601	572	378
602	573	377
603	574	376
604	575	375
605	575	374
606	576	373
607	577	372
608	577	371
609	579	370
610	579	369
611	580	367
612	580	366
613	581	365
614	582	364
615	582	363
616	583	361
617	583	360
618	584	359
619	584	358
620	584	356
621	585	355
622	585	354
623	586	353
624	586	352
625	587	351
626	588	349
627	588	348
628	589	347
629	590	346
630	590	345
631	591	344
632	591	343
633	592	341
634	592	340
635	593	339
636	594	338
637	594	337
638	596	337
639	597	335
640	597	334
641	598	333
642	598	332
643	599	331
644	599	329
645	600	328
646	600	327
647	600	326
648	601	325
649	601	324
650	603	323
651	604	322
652	605	321
653	606	320
654	606	319
655	607	318
656	608	317
657	608	316
658	609	315
659	609	314
660	610	313
661	611	312
662	612	311
663	612	310
664	613	309
665	614	308
666	614	306
667	615	305
668	615	304
669	616	303
670	616	302
671	617	301
672	618	300
673	618	299
674	619	298
675	620	297
676	620	296
677	621	295
678	622	294
679	622	293
680	623	292
681	624	291
682	625	290
683	625	289
684	626	288
685	627	287
686	627	286
687	628	284
688	628	283
689	629	282
690	629	281
691	630	280
692	630	279
693	631	278
694	631	277
695	632	276
696	632	275
697	633	274
698	633	272
699	634	271
700	635	270
701	635	269
702	636	268
703	636	267
704	637	266
705	637	265
706	638	264
707	639	263
708	640	262
709	640	261
710	641	260
711	641	259
712	642	258
713	642	257
714	643	256
715	644	255
716	644	254
717	644	253
718	645	252
719	645	251
720	646	250
721	647	249
722	647	248
723	648	247
724	648	246
725	649	244
726	649	243
727	649	242
728	650	241
729	651	240
730	651	239
731	652	238
732	652	237
733	655	237
734	655	236
735	656	235
736	656	234
737	657	233
738	659	232
739	659	231
740	660	230
741	660	229
742	662	229
743	662	227
744	662	226
745	663	225
746	663	224
747	664	223
748	664	222
749	665	221
750	665	220
751	666	219
752	666	218
753	667	217
754	667	216
755	668	215
756	668	214
757	669	213
758	669	212
759	670	211
760	670	210
761	671	209
762	671	208
763	672	207
764	672	206
765	673	205
766	673	204
767	673	203
768	674	202
769	674	201
770	675	200
771	675	199
772	676	198
773	676	197
774	677	196
775	677	195
776	678	194
777	678	193
778	679	192
779	680	191
780	680	190
781	681	189
782	681	188
783	681	187
784	682	186
785	683	185
786	684	185
787	684	184
788	685	183
789	686	182
790	686	181
791	687	180
792	687	179
793	688	178
794	688	177
795	689	176
796	690	175
797	690	174
798	691	173
799	691	172
800	692	171
801	692	170
802	692	169
803	693	169
804	693	168
805	694	167
806	694	166
807	695	165
808	695	164
809	695	163
810	696	162
811	697	161
812	697	160
813	697	159
814	698	158
815	698	157
816	699	156
817	699	155
818	700	154
819	700	153
820	701	152
821	701	151
822	701	150
823	702	149
824	702	149
825	703	148
826	703	147
827	704	146
828	704	145
829	705	144
830	705	143
831	706	142
832	706	141
833	707	140
834	707	139
835	707	138
836	708	137
837	708	137
838	709	136
839	709	135
840	710	134
841	710	133
842	710	132
843	711	131
844	712	130
845	712	129
846	713	128
847	713	127
848	714	127
849	714	126
850	715	125
851	715	124
852	716	123
853	716	122
854	717	121
855	717	120
856	718	119
857	718	118
858	719	118
859	719	117
860	719	116
861	720	115
862	720	114
863	721	113
864	721	112
865	721	111
866	722	110
867	722	109
868	723	109
869	723	108
870	724	107
871	724	106
872	725	105
873	725	104
874	725	103
875	726	102
876	726	101
877	727	101
878	728	100
879	728	99
880	728	98
881	729	97
882	730	96
883	730	95
884	798	103
885	800	102
886	801	102
887	801	101
888	802	100
889	804	99
890	808	98
891	809	97
892	809	97
893	810	96
894	811	95
895	813	94
896	814	93
897	815	92
898	816	91
899	817	90
900	817	89
901	818	88
902	818	87
903	819	87
904	820	86
905	820	85
906	821	84
907	821	83
908	822	82
909	822	81
910	823	80
911	823	79
912	824	78
913	824	77
914	825	76
915	825	75
916	826	74
917	827	73
918	827	72
919	828	72
920	828	71
921	829	70
922	830	69
923	830	68
924	831	67
925	832	66
926	833	65
927	834	64
928	834	63
929	835	62
930	835	61
931	835	60
932	836	60
933	837	59
934	838	58
935	848	57
936	848	57
937	849	56
938	850	55
939	850	54
940	851	53
941	851	52
942	852	51
943	852	50
944	853	49
945	853	48
946	854	47
947	854	46
948	855	45
949	856	45
950	856	44
951	857	43
952	857	42
953	858	41
954	858	40
955	859	39
956	859	38
957	860	37
958	860	36
959	861	35
960	861	34
961	862	34
962	863	33
963	863	32
964	864	31
965	864	30
966	864	29
967	865	28
968	865	27
969	866	26
970	866	25
971	866	24
972	867	24
973	867	23
974	868	22
975	869	21
976	869	20
977	871	19
978	871	18
979	872	17
980	872	16
981	873	16
982	874	15
983	875	14
984	875	13
985	875	12
986	876	11
987	877	10
988	877	9
989	878	8
990	878	7
991	878	7
992	879	6
993	879	5
994	880	4
995	880	3
996	881	2
997	881	1
998	882	0
999	882	0
