iter	Passed	Remaining
0	0	803
1	1	823
2	2	753
3	3	748
4	3	756
5	15	2556
6	16	2297
7	16	2098
8	17	1951
9	18	1827
10	20	1885
11	21	1789
12	22	1705
13	23	1634
14	23	1575
15	24	1520
16	25	1480
17	26	1436
18	27	1398
19	27	1361
20	28	1330
21	29	1303
22	30	1276
23	30	1251
24	31	1228
25	32	1206
26	32	1179
27	33	1160
28	34	1141
29	34	1122
30	35	1107
31	36	1089
32	36	1072
33	37	1056
34	37	1039
35	38	1026
36	38	1014
37	39	1003
38	40	990
39	40	977
40	41	964
41	41	954
42	42	946
43	43	935
44	43	928
45	44	917
46	44	909
47	45	904
48	46	895
49	46	886
50	47	877
51	47	868
52	48	861
53	48	855
54	49	850
55	50	844
56	50	837
57	51	830
58	51	825
59	52	823
60	53	817
61	53	811
62	54	805
63	54	803
64	55	797
65	55	792
66	56	788
67	57	785
68	57	780
69	58	777
70	59	772
71	59	767
72	60	762
73	60	758
74	61	754
75	61	749
76	62	745
77	62	743
78	63	742
79	64	740
80	65	739
81	65	735
82	66	730
83	66	727
84	67	723
85	67	720
86	68	717
87	68	713
88	69	711
89	70	709
90	70	705
91	71	701
92	71	699
93	72	698
94	73	695
95	73	692
96	74	689
97	74	687
98	75	686
99	76	684
100	76	682
101	77	683
102	78	681
103	78	678
104	79	676
105	79	674
106	80	672
107	81	670
108	81	667
109	82	665
110	82	663
111	83	661
112	83	658
113	84	656
114	85	655
115	85	653
116	86	650
117	86	647
118	87	647
119	88	647
120	88	644
121	89	640
122	89	638
123	90	638
124	90	636
125	91	635
126	91	632
127	92	630
128	93	629
129	94	630
130	95	631
131	95	629
132	96	628
133	97	627
134	97	625
135	98	628
136	99	628
137	100	628
138	101	628
139	102	626
140	102	624
141	103	623
142	103	623
143	104	623
144	105	622
145	106	621
146	106	620
147	107	619
148	108	618
149	109	618
150	109	618
151	111	621
152	112	620
153	112	619
154	113	617
155	114	618
156	115	617
157	115	616
158	116	614
159	116	613
160	117	611
161	118	610
162	118	610
163	119	609
164	120	608
165	121	608
166	121	608
167	122	608
168	123	608
169	124	607
170	125	606
171	125	606
172	126	605
173	127	605
174	128	606
175	129	605
176	130	605
177	131	605
178	131	604
179	132	603
180	133	603
181	134	602
182	134	602
183	135	602
184	136	601
185	137	601
186	138	600
187	138	599
188	139	598
189	140	596
190	140	596
191	141	596
192	142	596
193	143	595
194	144	594
195	144	594
196	145	592
197	145	591
198	146	589
199	146	587
200	147	585
201	147	584
202	148	582
203	148	580
204	149	578
205	149	576
206	150	575
207	150	574
208	151	572
209	151	571
210	152	571
211	153	571
212	154	569
213	154	568
214	155	566
215	155	564
216	156	563
217	156	561
218	156	559
219	157	557
220	157	556
221	158	554
222	158	553
223	159	551
224	159	550
